;id;CementComponent;BlastFurnaceSlag;FlyAshComponent;WaterComponent;SuperplasticizerComponent;CoarseAggregateComponent;FineAggregateComponent;AgeInDays;Strength
0;0;525.0;0.0;0.0;186.0;0.0;1125.0;613.0;3.0;10.38
1;1;143.0;169.0;143.0;191.0;8.0;967.0;643.0;28.0;23.52
2;2;289.0;134.7;0.0;185.7;0.0;1075.0;795.3;28.0;36.96
3;3;304.0;76.0;0.0;228.0;0.0;932.0;670.0;365.0;39.05
4;4;157.0;236.0;0.0;192.0;0.0;935.4;781.2;;74.19
5;5;350.0;0.0;0.0;203.0;0.0;1055.0;775.0;;37.43
6;6;135.7;203.5;0.0;185.7;0.0;;759.3;28.0;35.1
7;7;332.5;142.5;0.0;;0.0;932.0;594.0;28.0;45.94
8;8;322.0;0.0;0.0;203.0;0.0;974.0;800.0;180.0;42.14
9;9;133.0;200.0;0.0;192.0;0.0;927.4;839.2;3.0;6.94
10;10;500.0;0.0;0.0;200.0;0.0;1125.0;613.0;270.0;65.2
11;11;277.2;97.8;24.5;160.7;11.2;1061.7;782.5;3.0;23.51
12;12;239.6;24.0;78.3;162.6;2.5;967.0;712.6;7.0;23.52
13;13;331.0;;0.0;192.0;0.0;978.0;825.0;28.0;24.48
14;14;342.0;;0.0;228.0;0.0;932.0;670.0;3.0;13.18
15;15;540.0;0.0;0.0;182.0;0.0;1100.0;820.0;90.0;33.8
16;16;252.0;0.0;0.0;186.0;0.0;1111.0;;28.0;26.86
17;17;393.0;0.0;0.0;192.0;0.0;940.6;785.6;90.0;38.7
18;18;516.0;0.0;0.0;162.0;7.0;932.0;617.0;28.0;26.32
19;19;182.0;45.2;122.0;170.2;8.2;1059.4;780.7;100.0;45.3
20;20;393.0;0.0;0.0;192.0;0.0;940.6;785.6;90.0;52.3
21;21;310.0;0.0;0.0;192.0;0.0;1012.0;830.0;90.0;25.37
22;22;212.0;0.0;100.4;159.0;8.7;1007.3;903.6;3.0;18.03
23;23;238.2;0.0;0.0;185.7;0.0;1118.8;789.3;28.0;19.01
24;24;540.0;0.0;0.0;173.0;0.0;1125.0;594.0;7.0;18.13
25;25;362.6;189.0;0.0;164.9;11.6;944.7;755.8;3.0;17.84
26;26;148.0;175.0;0.0;;2.0;1000.0;828.0;7.0;17.96
27;27;286.3;200.9;0.0;144.7;11.2;1004.6;803.7;3.0;13.62
28;28;213.8;98.1;24.5;181.7;6.9;1065.8;785.6;100.0;39.23
29;29;203.5;166.8;0.0;203.5;0.0;977.6;694.1;7.0;28.99
30;30;133.1;200.9;0.0;203.5;0.0;965.4;692.6;7.0;15.09
31;31;425.0;0.0;94.1;191.8;5.5;938.2;822.2;3.0;17.54
32;32;318.8;212.5;0.0;155.7;14.3;852.1;880.4;28.0;50.66
33;33;252.3;151.2;0.0;185.7;0.0;1134.3;703.7;3.0;8.37
