CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
525.0,0.0,0.0,186.0,0.0,1125.0,613.0,3.0,10.38
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0,23.52
289.0,134.7,0.0,185.7,0.0,1075.0,795.3,28.0,36.96
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,39.05
157.0,236.0,0.0,192.0,0.0,935.4,781.2,89.57510629647133,74.19
350.0,0.0,0.0,203.0,0.0,1055.0,775.0,56.70163791658827,37.43
135.7,203.5,0.0,185.7,0.0,1074.4147348311478,759.3,28.0,35.1
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28.0,45.94
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180.0,42.14
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3.0,6.94
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270.0,65.2
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3.0,23.51
239.6,24.0,78.3,162.6,2.5,967.0,712.6,7.0,23.52
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28.0,24.48
342.0,32.68198995275638,0.0,228.0,0.0,932.0,670.0,3.0,13.18
540.0,0.0,0.0,182.0,0.0,1100.0,820.0,90.0,33.8
252.0,0.0,0.0,186.0,0.0,1111.0,784.053503519984,28.0,26.86
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,38.7
516.0,0.0,0.0,162.0,7.0,932.0,617.0,28.0,26.32
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100.0,45.3
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,52.3
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90.0,25.37
212.0,0.0,100.4,159.0,8.7,1007.3,903.6,3.0,18.03
238.2,0.0,0.0,185.7,0.0,1118.8,789.3,28.0,19.01
540.0,0.0,0.0,173.0,0.0,1125.0,594.0,7.0,18.13
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,17.84
148.0,175.0,0.0,173.31158141026216,2.0,1000.0,828.0,7.0,17.96
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3.0,13.62
213.8,98.1,24.5,181.7,6.9,1065.8,785.6,100.0,39.23
203.5,166.8,0.0,203.5,0.0,977.6,694.1,7.0,28.99
133.1,200.9,0.0,203.5,0.0,965.4,692.6,7.0,15.09
425.0,0.0,94.1,191.8,5.5,938.2,822.2,3.0,17.54
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,50.66
252.3,151.2,0.0,185.7,0.0,1134.3,703.7,3.0,8.37
350.0,0.0,0.0,192.0,0.0,968.0,845.0,28.0,27.23
160.0,250.0,0.0,168.0,12.0,1009.5538657516546,688.0,28.0,40.57
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14.0,24.4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,57.22
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3.0,15.87
307.0,0.0,0.0,193.0,0.0,968.0,812.0,226.02275873873756,27.42
425.0,158.5,0.0,153.5,16.5,852.1,887.1,28.0,55.51
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3.0,25.12
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,38.11
424.0,22.0,132.0,168.0,8.9,822.0,750.0,56.0,52.52
326.0,0.0,141.0,199.0,11.0,801.0,792.0,28.0,16.88
156.0,183.0,0.0,193.0,2.0,1009.8145694590784,697.0,27.999999999999996,24.24
362.6,0.0,0.0,164.9,11.6,944.7,755.8,91.0,57.22
141.3,166.4,0.0,203.5,0.0,879.6,748.5,28.0,29.07
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28.0,39.16
